time,value
1545764427,5.012000
1545764439,5.405000
1545764451,6.072000
1545764464,5.940000
1545764479,4.834000
1545764490,5.195000
1545764501,5.315000
1545764513,5.333000
1545764523,5.066000
1545764534,5.279000
1545764545,5.210000
1545764556,5.498000
1545764567,5.191000
1545764579,5.555000
1545764589,5.030000
1545764600,5.121000
1545764611,5.122000
1545764622,5.246000
1545764634,5.713000
1545764644,5.127000
1545764655,5.254000
1545764666,5.408000
1545764680,6.542000
1545764691,5.064000
1545764702,5.562000
1545764713,5.168000
1545764724,5.406000
1545764736,5.031000
1545764747,5.120000
1545764758,5.571000
1545764769,5.429000
1545764780,5.224000
1545764792,5.734000
1545764804,5.922000
